sapientia bona, Nominative, sg., f 
sapientiae bonae, Genitive, sg., f 
sapientiae bonae, Dative, sg., f 
sapientiam bonam, Accusative, sg., f 
sapientiā bonā, Ablative, sg., f 
sapientiae bonae, Nominative, pl., f 
sapientiarum bonarum, Genitive, pl., f 
sapientiis bonis, Dative, pl., f 
sapientias bonas, Accusative, pl., f 
sapientiis bonis, Ablative, pl., f 
scientia bona, Nominative, sg., f 
scientiae bonae, Genitive, sg., f 
scientiae bonae, Dative, sg., f 
scientiam bonam, Accusative, sg., f 
scientiā bonā, Ablative, sg., f 
scientiae bonae, Nominative, pl., f 
scientiarum bonarum, Genitive, pl., f 
scientiis bonis, Dative, pl., f 
scientias bonas, Accusative, pl., f 
scientiis bonis, Ablative, pl., f 
sententia bona, Nominative, sg., f 
sententiae bonae, Genitive, sg., f 
sententiae bonae, Dative, sg., f 
sententiam bonam, Accusative, sg., f 
sententiā bonā, Ablative, sg., f 
sententiae bonae, Nominative, pl., f 
sententiarum bonarum, Genitive, pl., f 
sententiis bonis, Dative, pl., f 
sententias bonas, Accusative, pl., f 
sententiis bonis, Ablative, pl., f 
silva bona, Nominative, sg., f 
silvae bonae, Genitive, sg., f 
silvae bonae, Dative, sg., f 
silvam bonam, Accusative, sg., f 
silvā bonā, Ablative, sg., f 
silvae bonae, Nominative, pl., f 
silvarum bonarum, Genitive, pl., f 
silvis bonis, Dative, pl., f 
silvas bonas, Accusative, pl., f 
silvis bonis, Ablative, pl., f 
stella bona, Nominative, sg., f 
stellae bonae, Genitive, sg., f 
stellae bonae, Dative, sg., f 
stellam bonam, Accusative, sg., f 
stellā bonā, Ablative, sg., f 
stellae bonae, Nominative, pl., f 
stellarum bonarum, Genitive, pl., f 
stellis bonis, Dative, pl., f 
stellas bonas, Accusative, pl., f 
stellis bonis, Ablative, pl., f 
terra bona, Nominative, sg., f 
terrae bonae, Genitive, sg., f 
terrae bonae, Dative, sg., f 
terram bonam, Accusative, sg., f 
terrā bonā, Ablative, sg., f 
terrae bonae, Nominative, pl., f 
terrarum bonarum, Genitive, pl., f 
terris bonis, Dative, pl., f 
terras bonas, Accusative, pl., f 
terris bonis, Ablative, pl., f 
turba bona, Nominative, sg., f 
turbae bonae, Genitive, sg., f 
turbae bonae, Dative, sg., f 
turbam bonam, Accusative, sg., f 
turbā bonā, Ablative, sg., f 
turbae bonae, Nominative, pl., f 
turbarum bonarum, Genitive, pl., f 
turbis bonis, Dative, pl., f 
turbas bonas, Accusative, pl., f 
turbis bonis, Ablative, pl., f 
via bona, Nominative, sg., f 
viae bonae, Genitive, sg., f 
viae bonae, Dative, sg., f 
viam bonam, Accusative, sg., f 
viā bonā, Ablative, sg., f 
viae bonae, Nominative, pl., f 
viarum bonarum, Genitive, pl., f 
viis bonis, Dative, pl., f 
vias bonas, Accusative, pl., f 
viis bonis, Ablative, pl., f 
victōria bona, Nominative, sg., f 
victōriae bonae, Genitive, sg., f 
victōriae bonae, Dative, sg., f 
victōriam bonam, Accusative, sg., f 
victōriā bonā, Ablative, sg., f 
victōriae bonae, Nominative, pl., f 
victōriarum bonarum, Genitive, pl., f 
victōriis bonis, Dative, pl., f 
victōrias bonas, Accusative, pl., f 
victōriis bonis, Ablative, pl., f 
vīta bona, Nominative, sg., f 
vītae bonae, Genitive, sg., f 
vītae bonae, Dative, sg., f 
vītam bonam, Accusative, sg., f 
vītā bonā, Ablative, sg., f 
vītae bonae, Nominative, pl., f 
vītarum bonarum, Genitive, pl., f 
vītis bonis, Dative, pl., f 
vītas bonas, Accusative, pl., f 
vītis bonis, Ablative, pl., f 
umbra bona, Nominative, sg., f 
umbrae bonae, Genitive, sg., f 
umbrae bonae, Dative, sg., f 
umbram bonam, Accusative, sg., f 
umbrā bonā, Ablative, sg., f 
umbrae bonae, Nominative, pl., f 
umbrarum bonarum, Genitive, pl., f 
umbris bonis, Dative, pl., f 
umbras bonas, Accusative, pl., f 
umbris bonis, Ablative, pl., f 
unda bona, Nominative, sg., f 
undae bonae, Genitive, sg., f 
undae bonae, Dative, sg., f 
undam bonam, Accusative, sg., f 
undā bonā, Ablative, sg., f 
undae bonae, Nominative, pl., f 
undarum bonarum, Genitive, pl., f 
undis bonis, Dative, pl., f 
undas bonas, Accusative, pl., f 
undis bonis, Ablative, pl., f 
animus bonus, Nominative, sg., m 
animi boni, Genitive, sg., m 
animo bono, Dative, sg., m 
animum bonum, Accusative, sg., m 
animo bono, Ablative, sg., m 
animi boni, Nominative, pl., m 
animorum bonorum, Genitive, pl., m 
animis bonis, Dative, pl., m 
animos bonos, Accusative, pl., m 
animis bonis, Ablative, pl., m 
annus bonus, Nominative, sg., m 
anni boni, Genitive, sg., m 
anno bono, Dative, sg., m 
annum bonum, Accusative, sg., m 
anno bono, Ablative, sg., m 
anni boni, Nominative, pl., m 
annorum bonorum, Genitive, pl., m 
annis bonis, Dative, pl., m 
annos bonos, Accusative, pl., m 
annis bonis, Ablative, pl., m 
barbarus bonus, Nominative, sg., m 
barbari boni, Genitive, sg., m 
barbaro bono, Dative, sg., m 
barbarum bonum, Accusative, sg., m 
barbaro bono, Ablative, sg., m 
barbari boni, Nominative, pl., m 
barbarorum bonorum, Genitive, pl., m 
barbaris bonis, Dative, pl., m 
barbaros bonos, Accusative, pl., m 
barbaris bonis, Ablative, pl., m 
campus bonus, Nominative, sg., m 
campi boni, Genitive, sg., m 
campo bono, Dative, sg., m 
campum bonum, Accusative, sg., m 
campo bono, Ablative, sg., m 
campi boni, Nominative, pl., m 
camporum bonorum, Genitive, pl., m 
campis bonis, Dative, pl., m 
campos bonos, Accusative, pl., m 
campis bonis, Ablative, pl., m 
cibus bonus, Nominative, sg., m 
cibi boni, Genitive, sg., m 
cibo bono, Dative, sg., m 
cibum bonum, Accusative, sg., m 
cibo bono, Ablative, sg., m 
cibi boni, Nominative, pl., m 
ciborum bonorum, Genitive, pl., m 
cibis bonis, Dative, pl., m 
cibos bonos, Accusative, pl., m 
cibis bonis, Ablative, pl., m 
deus bonus, Nominative, sg., m 
dei boni, Genitive, sg., m 
deo bono, Dative, sg., m 
deum bonum, Accusative, sg., m 
deo bono, Ablative, sg., m 
dei boni, Nominative, pl., m 
deorum bonorum, Genitive, pl., m 
deis bonis, Dative, pl., m 
deos bonos, Accusative, pl., m 
deis bonis, Ablative, pl., m 
dolus bonus, Nominative, sg., m 
doli boni, Genitive, sg., m 
dolo bono, Dative, sg., m 
dolum bonum, Accusative, sg., m 
dolo bono, Ablative, sg., m 
doli boni, Nominative, pl., m 
dolorum bonorum, Genitive, pl., m 
dolis bonis, Dative, pl., m 
dolos bonos, Accusative, pl., m 
dolis bonis, Ablative, pl., m 
dominus bonus, Nominative, sg., m 
domini boni, Genitive, sg., m 
domino bono, Dative, sg., m 
dominum bonum, Accusative, sg., m 
domino bono, Ablative, sg., m 
domini boni, Nominative, pl., m 
dominorum bonorum, Genitive, pl., m 
dominis bonis, Dative, pl., m 
dominos bonos, Accusative, pl., m 
dominis bonis, Ablative, pl., m 
equus bonus, Nominative, sg., m 
equi boni, Genitive, sg., m 
equo bono, Dative, sg., m 
equum bonum, Accusative, sg., m 
equo bono, Ablative, sg., m 
equi boni, Nominative, pl., m 
equorum bonorum, Genitive, pl., m 
equis bonis, Dative, pl., m 
equos bonos, Accusative, pl., m 
equis bonis, Ablative, pl., m 
gladius bonus, Nominative, sg., m 
gladii boni, Genitive, sg., m 
gladio bono, Dative, sg., m 
gladium bonum, Accusative, sg., m 
gladio bono, Ablative, sg., m 
gladii boni, Nominative, pl., m 
gladiorum bonorum, Genitive, pl., m 
gladiis bonis, Dative, pl., m 
gladios bonos, Accusative, pl., m 
gladiis bonis, Ablative, pl., m 
lēgātus bonus, Nominative, sg., m 
lēgāti boni, Genitive, sg., m 
lēgāto bono, Dative, sg., m 
lēgātum bonum, Accusative, sg., m 
lēgāto bono, Ablative, sg., m 
lēgāti boni, Nominative, pl., m 
lēgātorum bonorum, Genitive, pl., m 
lēgātis bonis, Dative, pl., m 
lēgātos bonos, Accusative, pl., m 
lēgātis bonis, Ablative, pl., m 
marītus bonus, Nominative, sg., m 
marīti boni, Genitive, sg., m 
marīto bono, Dative, sg., m 
marītum bonum, Accusative, sg., m 
marīto bono, Ablative, sg., m 
marīti boni, Nominative, pl., m 
marītorum bonorum, Genitive, pl., m 
marītis bonis, Dative, pl., m 
marītos bonos, Accusative, pl., m 
marītis bonis, Ablative, pl., m 
modus bonus, Nominative, sg., m 
modi boni, Genitive, sg., m 
modo bono, Dative, sg., m 
modum bonum, Accusative, sg., m 
modo bono, Ablative, sg., m 
modi boni, Nominative, pl., m 
modorum bonorum, Genitive, pl., m 
modis bonis, Dative, pl., m 
modos bonos, Accusative, pl., m 
modis bonis, Ablative, pl., m 
morbus bonus, Nominative, sg., m 
morbi boni, Genitive, sg., m 
morbo bono, Dative, sg., m 
morbum bonum, Accusative, sg., m 
morbo bono, Ablative, sg., m 
morbi boni, Nominative, pl., m 
morborum bonorum, Genitive, pl., m 
morbis bonis, Dative, pl., m 
morbos bonos, Accusative, pl., m 
morbis bonis, Ablative, pl., m 
mundus bonus, Nominative, sg., m 
mundi boni, Genitive, sg., m 
mundo bono, Dative, sg., m 
mundum bonum, Accusative, sg., m 
mundo bono, Ablative, sg., m 
mundi boni, Nominative, pl., m 
mundorum bonorum, Genitive, pl., m 
mundis bonis, Dative, pl., m 
mundos bonos, Accusative, pl., m 
mundis bonis, Ablative, pl., m 
mūrus bonus, Nominative, sg., m 
mūri boni, Genitive, sg., m 
mūro bono, Dative, sg., m 
mūrum bonum, Accusative, sg., m 
mūro bono, Ablative, sg., m 
mūri boni, Nominative, pl., m 
mūrorum bonorum, Genitive, pl., m 
mūris bonis, Dative, pl., m 
mūros bonos, Accusative, pl., m 
mūris bonis, Ablative, pl., m 
nātus bonus, Nominative, sg., m 
nāti boni, Genitive, sg., m 
nāto bono, Dative, sg., m 
nātum bonum, Accusative, sg., m 
nāto bono, Ablative, sg., m 
nāti boni, Nominative, pl., m 
nātorum bonorum, Genitive, pl., m 
nātis bonis, Dative, pl., m 
nātos bonos, Accusative, pl., m 
nātis bonis, Ablative, pl., m 
numerus bonus, Nominative, sg., m 
numeri boni, Genitive, sg., m 
numero bono, Dative, sg., m 
numerum bonum, Accusative, sg., m 
numero bono, Ablative, sg., m 
numeri boni, Nominative, pl., m 
numerorum bonorum, Genitive, pl., m 
numeris bonis, Dative, pl., m 
numeros bonos, Accusative, pl., m 
